neuron,chain_idx,anchor_z
AIMR,2,1603
AIMR,4,1573
AIMR,5,1544
AIMR,7,1542
AIMR,8,1530
AIMR,9,1519
AIMR,10,1514
AIMR,11,1513
AIMR,12,1509
AIMR,13,1506
AIMR,14,1504
AIMR,15,1505
AIMR,16,1501
AIMR,17,1499
AIMR,18,1494
AIMR,19,1489
AIMR,20,1491
AIMR,22,1490
AIMR,24,1486
AIMR,28,1501
AIMR,29,1488
AIMR,30,1502
AIMR,31,1495
AIMR,32,1490
AIMR,33,1488
AIMR,34,1485
AIMR,35,1480
AIMR,36,1468
AIMR,37,1471
AIMR,38,1473
AIMR,39,1462
AIMR,41,1453
AIMR,42,1451
AIMR,43,1447
AIMR,44,1455
AIMR,45,1447
AIMR,46,1453
AIMR,47,1464
AIMR,48,1484
RIBR,0,1380
RIBR,2,1371
RIBR,3,1363
RIBR,4,1402
RIBR,5,1442
RIBR,6,1444
RIBR,8,1475
RIBR,9,1466
RIBR,10,1486
RIBR,12,1594
RIBR,13,1586
RIBR,14,1587
RIBR,15,1572
RIBR,16,1596
RIBR,17,1560
RIBR,18,1504
RIBR,19,1459
RIBR,20,1448
RIBR,21,1452
RIBR,22,1410
RIBR,23,1456
RIBR,24,1446
RIBR,25,1449
RIBR,26,1451
RIBR,27,1442
RIBR,28,1442
RIBR,29,1438
RIBR,31,1418
RIBR,32,1399
RIBR,33,1397
RIBR,35,1393
RIBR,36,1365
RIBR,37,1361
RIBR,38,1353
RIBR,39,1351
RIBR,40,1344
RIBR,41,1356
RIBR,42,1362
RMHR,0,1398
RMHR,1,1400
RMHR,2,1402
RMHR,3,1406
RMHR,4,1418
RMHR,5,1439
RMHR,7,1411
RMHR,8,1404
RMHR,9,1395
RMHR,13,1389
RMHR,14,1401
RMHR,15,1385
RMHR,17,1382
RMHR,19,1374
RMHR,20,1392
RMHR,21,1390
RMHR,22,1395
RMHR,23,1402
RMHR,24,1417
RMHR,25,1408
RMHR,26,1388
RMHR,27,1380
RMHR,28,1383
RMHR,29,1370
RMHR,31,1395
RMHR,32,1398
RMHR,33,1392
RMHR,34,1409
RMHR,35,1431
RMHR,36,1441
RMHR,39,1534
RMHR,40,1452
RMHR,41,1433
RMHR,42,1426
RMHR,43,1388
RMHR,44,1387
RMHR,45,1386
RMHR,46,1380
AVHL,0,1531
AVHL,1,1439
AVHL,2,1429
AVHL,3,1428
AVHL,4,1454
AVHL,5,1479
AVHL,9,1430
AVHL,10,1423
