neuron,chain_idx,anchor_z
AIML,0,1626
AIML,2,1608
AIML,4,1539
AIML,5,1491
AIML,6,1497
AIML,7,1481
AIML,9,1464
AIML,10,1453
AIML,13,1444
AIML,14,1441
AIML,15,1439
AIML,17,1450
AIML,19,1434
AIML,21,1429
AIML,23,1423
AIML,24,1459
AIML,25,1480
AIML,26,1471
AIML,27,1469
AIML,29,1477
AIML,30,1465
AIML,31,1468
AIML,32,1476
AIML,34,1456
AIML,35,1461
AIML,36,1452
AIML,39,1450
AIML,40,1467
AVHR,1,1487
AVHR,3,1460
AVHR,6,1440
AVHR,7,1437
AVHR,9,1431
AVHR,10,1430
AVHR,11,1423
AVHR,12,1489
AVHR,13,1584
AVHR,15,1418
AVHR,16,1438
AVHR,18,1486
FLPL,3,1325
FLPL,4,1622
FLPL,6,1609
FLPL,7,1604
FLPL,8,1602
FLPL,9,1599
FLPL,10,1588
FLPL,12,1576
FLPL,13,1568
FLPL,14,1561
FLPL,16,1559
FLPL,18,1555
FLPL,20,1551
FLPL,22,1547
FLPL,23,1563
FLPL,24,1568
FLPL,25,1595
FLPR,1,1612
FLPR,2,1590
FLPR,4,1573
FLPR,5,1568
FLPR,8,1591
FLPR,10,1586
FLPR,11,1577
FLPR,14,1469
RIML,0,1549
RIML,1,1557
RIML,2,1569
RIML,3,1566
RIML,5,1578
RIML,6,1588
RIML,8,1591
RIML,9,1595
RIML,10,1586
RIML,11,1596
RIML,12,1613
RIML,13,1617
RIML,14,1622
RIML,15,1607
RIML,16,1578
RIML,17,1572
RIML,18,1566
RIML,19,1546
RIML,20,1547
RIML,21,1541
RIML,22,1535
RIML,23,1475
RIML,24,1424
RIML,25,1408
RIML,26,1396
RIML,27,1397
RIML,28,1388
RIML,29,1386
RIML,31,1390
RIML,33,1392
RIML,34,1381
RIML,35,1380
RIML,36,1378
RIML,37,1374
RIML,38,1376
RIML,39,1381
RIML,40,1389
RIML,41,1401
RIML,43,1425
RIML,44,1437
RIML,45,1440
RIML,46,1449
RIML,47,1461
RIML,49,1466
RIML,50,1480
RIML,51,1463
RIML,54,1455
RIML,55,1443
RIML,56,1421
RIML,58,1386
RIML,59,1382
RIML,60,1383
RIML,61,1383
RIML,62,1366
RIML,63,1357
RIML,64,1358
RIML,65,1394
RIML,66,1510
RIMR,0,1628
RIMR,1,1524
RIMR,2,1532
RIMR,6,1565
RIMR,8,1572
RIMR,9,1579
RIMR,10,1593
RIMR,11,1608
RIMR,13,1568
RIMR,14,1585
RIMR,15,1620
RIMR,16,1608
RIMR,17,1555
RIMR,18,1572
RIMR,19,1576
RIMR,22,1523
RIMR,23,1498
RIMR,25,1475
RIMR,26,1472
RIMR,27,1466
RIMR,28,1455
RIMR,29,1460
RIMR,30,1434
RIMR,31,1417
RIMR,32,1408
RIMR,33,1404
RIMR,34,1408
RIMR,35,1403
RIMR,37,1399
RIMR,38,1398
RIMR,39,1394
RIMR,40,1395
RIMR,41,1379
RIMR,42,1372
RIMR,43,1399
RIMR,44,1440
RIMR,45,1472
RIMR,46,1446
RIMR,47,1415
RIMR,48,1409
RIMR,50,1369
RIMR,51,1363
RIMR,53,1361
RIMR,55,1361
RIMR,56,1354
RIMR,57,1351
RIMR,58,1426
RIPL,0,1295
RIPL,1,1305
RIPL,2,1318
RIPL,5,1459
RIPL,6,1469
RIPL,9,1496
RIPL,12,1555
RIPL,14,1493
RIPL,16,1503
RIPL,18,1421
RIPL,19,1434
RIPL,21,1439
RIPL,22,1428
RIPL,23,1418
RIPL,25,1427
RIPL,27,1313
RIPL,28,1315
RIPL,33,1311
RIPL,34,1293
RIPR,1,1314
RIPR,2,1315
RIPR,4,1331
RIPR,5,1344
RIPR,6,1351
RIPR,8,1408
RIPR,9,1468
RIPR,11,1477
RIPR,12,1479
RIPR,18,1466
RIPR,19,1474
RIPR,22,1480
RIPR,23,1489
RIPR,24,1499
RIPR,25,1508
RIPR,32,1482
RIPR,34,1384
RIPR,36,1428
RIPR,37,1436
RIPR,38,1442
RIPR,39,1443
RIPR,40,1445
RIPR,41,1444
RIPR,45,1449
RIPR,47,1461
RIPR,48,1451
RIPR,49,1439
RIPR,51,1303
RMHL,0,1623
RMHL,1,1627
RMHL,2,1599
RMHL,3,1574
RMHL,5,1395
RMHL,7,1437
RMHL,8,1420
RMHL,9,1419
RMHL,11,1424
RMHL,12,1430
RMHL,13,1437
RMHL,14,1414
RMHL,15,1394
RMHL,16,1389
RMHL,17,1422
RMHL,18,1416
RMHL,19,1428
RMHL,20,1415
RMHL,21,1415
RMHL,22,1386
RMHL,24,1402
RMHL,25,1397
RMHL,26,1387
RMHL,27,1383
RMHL,28,1382
RMHL,29,1381
RMHL,30,1387
RMHL,31,1401
RIBL,0,1596
RIBL,1,1607
RIBL,2,1623
RIBL,3,1615
RIBL,4,1590
RIBL,5,1590
RIBL,6,1596
RIBL,7,1585
RIBL,8,1576
RIBL,10,1447
RIBL,11,1443
RIBL,12,1442
RIBL,13,1439
RIBL,14,1432
RIBL,15,1428
RIBL,16,1448
RIBL,17,1430
RIBL,18,1405
RIBL,20,1364
RIBL,22,1418
RIBL,23,1424
RIBL,24,1414
RIBL,25,1406
RIBL,26,1400
RIBL,27,1403
RIBL,29,1398
RIBL,30,1398
RIBL,31,1389
RIBL,32,1370
RIBL,33,1342
RIBL,34,1340
RIBL,36,1336
RIBL,38,1411
RIBL,39,1419
RIBL,40,1583
RIH,0,1568
RIH,1,1598
RIH,2,1624
RIH,3,1609
RIH,4,1598
RIH,5,1552
RIH,6,1509
RIH,7,1505
RIH,8,1492
RIH,12,1476
RIH,13,1472
RIH,14,1470
RIH,15,1473
RIH,17,1380
RIH,18,1430
RIH,19,1484
RIH,20,1477
RIH,22,1376
RIH,23,1362
RIH,24,1352
RIH,26,1351
RIH,27,1345
RIH,29,1392
RIH,30,1395
RIH,34,1407
RIH,36,1405
RIH,37,1401
RIH,39,1334
RIH,40,1327
RIH,41,1325
RIH,42,1371
RIH,43,1366
RIH,44,1347
RIH,45,1329
RIH,46,1327
RIH,48,1324
RIH,50,1312
RIH,51,1359
RIH,52,1368
RIH,53,1503
RIH,54,1501
RIH,55,1501
RIH,56,1498
RIH,58,1494
RIH,59,1501
RIH,60,1543
