neuron,chain_idx,anchor_z
AIAL,2,1513
AIAL,4,1508
AIAL,7,1487
AIAL,8,1484
AIAL,9,1480
AIAL,10,1475
AIAL,11,1469
AIAL,12,1469
AIAL,14,1465
AIAL,16,1453
AIAL,18,1438
AIAL,19,1431
AIAL,21,1433
AIAL,22,1435
AIAL,23,1436
AIAL,24,1429
AIAL,25,1428
AIAL,28,1423
AIAL,30,1417
AIAL,31,1473
AIAL,33,1478
AIAL,36,1503
AIAR,0,1584
AIAR,1,1543
AIAR,2,1554
AIAR,3,1542
AIAR,4,1540
AIAR,5,1531
AIAR,7,1501
AIAR,8,1505
AIAR,9,1506
AIAR,10,1512
AIAR,11,1501
AIAR,12,1502
AIAR,13,1497
AIAR,14,1494
AIAR,16,1485
AIAR,18,1477
AIAR,21,1444
AIAR,22,1445
AIAR,23,1439
AIAR,24,1431
AIAR,25,1428
AIAR,26,1438
AIAR,27,1522
