neuron,chain_idx,anchor_z
AIBL,0,1515
AIBL,1,1539
AIBL,2,1570
AIBL,4,1587
AIBL,6,1503
AIBL,7,1482
AIBL,8,1474
AIBL,9,1474
AIBL,11,1476
AIBL,12,1468
AIBL,13,1460
AIBL,14,1457
AIBL,15,1447
AIBL,16,1423
AIBL,17,1398
AIBL,20,1393
AIBL,21,1400
AIBL,22,1419
AIBL,23,1426
AIBL,24,1427
AIBL,25,1438
AIBL,26,1444
AIBL,27,1449
AIBL,29,1505
AIBL,30,1546
AIBL,33,1577
AIBL,34,1584
AIBL,35,1601
AIBL,36,1609
AIBL,37,1604
AIBL,38,1619
AIBL,39,1603
AIBL,41,1600
AIBL,42,1600
AIBL,44,1567
AIBL,46,1453
AIBL,47,1438
AIBL,48,1441
AIBL,50,1413
AIBL,51,1378
AIBL,52,1368
AIBL,53,1372
AIBL,54,1439
AIBL,57,1485
AIBR,0,1398
AIBR,1,1448
AIBR,2,1501
AIBR,3,1505
AIBR,4,1514
AIBR,5,1551
AIBR,6,1582
AIBR,7,1563
AIBR,8,1578
AIBR,9,1606
AIBR,10,1598
AIBR,11,1612
AIBR,12,1582
AIBR,14,1569
AIBR,15,1564
AIBR,16,1565
AIBR,17,1546
AIBR,18,1520
AIBR,21,1375
AIBR,22,1382
AIBR,23,1388
AIBR,24,1390
AIBR,25,1397
AIBR,26,1408
AIBR,27,1423
AIBR,28,1426
AIBR,29,1428
AIBR,30,1438
AIBR,31,1448
AIBR,32,1471
AIBR,33,1528
AIBR,34,1486
AIBR,35,1450
AIBR,36,1446
AIBR,40,1375
AIBR,41,1368
AIBR,42,1364
AIBR,43,1361
AIBR,44,1361
AIBR,45,1364
