neuron,chain_idx,anchor_z
AIYL,2,1569
AIYL,3,1540
AIYL,4,1526
AIYL,6,1518
AIYL,8,1509
AIYL,9,1523
AIYL,11,1510
AIYL,12,1490
AIYL,18,1459
AIYL,20,1454
AIYL,21,1449
AIYL,22,1431
AIYL,23,1412
AIYL,24,1414
AIYL,25,1415
AIYL,30,1415
AIYL,34,1407
AIYL,40,1541
AIYR,4,1558
AIYR,6,1536
AIYR,8,1525
AIYR,9,1515
AIYR,11,1508
AIYR,12,1504
AIYR,14,1498
AIYR,15,1497
AIYR,21,1444
AIYR,22,1440
AIYR,23,1441
AIYR,24,1427
AIYR,26,1409
AIYR,27,1433
AIYR,29,1428
AIYR,31,1423
AIYR,32,1419
AIYR,34,1417
AIYR,35,1415
AIYR,36,1396
AIYR,38,1439
AIYR,39,1488
AIYR,41,1475
AIYR,42,1517
