neuron,chain_idx,anchor_z
AIZL,5,1508
AIZL,6,1515
AIZL,7,1522
AIZL,8,1531
AIZL,9,1545
AIZL,10,1552
AIZL,11,1559
AIZL,12,1582
AIZL,13,1601
AIZL,14,1598
AIZL,15,1603
AIZL,16,1596
AIZL,17,1610
AIZL,18,1627
AIZL,19,1624
AIZL,20,1591
AIZL,22,1562
AIZL,24,1530
AIZL,25,1514
AIZL,26,1505
AIZL,27,1504
AIZL,29,1500
AIZL,30,1496
AIZL,31,1492
AIZL,32,1479
AIZL,33,1487
AIZL,34,1488
AIZL,35,1488
AIZL,36,1483
AIZL,37,1478
AIZL,38,1479
AIZL,40,1465
AIZL,41,1468
AIZL,42,1468
AIZL,44,1461
AIZL,46,1454
AIZL,50,1437
AIZL,51,1428
AIZL,54,1403
AIZL,55,1378
AIZL,56,1427
AIZL,57,1476
AIZL,59,1470
AIZL,61,1466
AIZR,2,1522
AIZR,3,1533
AIZR,5,1577
AIZR,6,1606
AIZR,8,1578
AIZR,10,1600
AIZR,11,1574
AIZR,12,1519
AIZR,13,1513
AIZR,14,1515
AIZR,15,1514
AIZR,16,1510
AIZR,17,1507
AIZR,18,1506
AIZR,19,1514
AIZR,20,1502
AIZR,21,1502
AIZR,22,1497
AIZR,23,1493
AIZR,25,1485
AIZR,26,1493
AIZR,27,1494
AIZR,29,1496
AIZR,30,1492
AIZR,32,1490
AIZR,34,1485
AIZR,35,1489
AIZR,36,1491
AIZR,37,1492
AIZR,38,1496
AIZR,39,1488
AIZR,41,1484
AIZR,43,1461
AIZR,45,1434
AIZR,46,1415
AIZR,48,1397
AIZR,49,1401
AIZR,50,1406
AIZR,51,1401
AIZR,52,1396
AIZR,53,1395
AIZR,56,1492
AIZR,58,1490
AIZR,60,1487
