neuron,chain_idx,anchor_z
AIZL,5,1508
AIZL,6,1515
AIZL,7,1522
AIZL,8,1531
AIZL,9,1545
AIZL,10,1552
AIZL,11,1559
AIZL,12,1582
AIZL,13,1601
AIZL,14,1598
AIZL,15,1603
AIZL,16,1596
AIZL,17,1610
AIZL,18,1627
AIZL,19,1624
AIZL,20,1591
AIZL,22,1562
AIZL,24,1530
AIZL,25,1514
AIZL,26,1505
AIZL,27,1504
AIZL,29,1500
AIZL,30,1496
AIZL,31,1492
AIZL,32,1479
AIZL,33,1487
AIZL,34,1488
AIZL,35,1488
AIZL,36,1483
AIZL,37,1478
AIZL,38,1479
AIZL,40,1465
AIZL,41,1468
AIZL,42,1468
AIZL,44,1461
AIZL,46,1454
AIZL,50,1437
AIZL,51,1428
AIZL,54,1403
AIZL,55,1378
AIZL,56,1427
AIZL,57,1476
AIZL,59,1470
AIZL,61,1466
