neuron,chain_idx,anchor_z
AUAL,0,1627
AUAL,2,1624
AUAL,3,1619
AUAL,7,1456
AUAL,8,1452
AUAL,9,1452
AUAL,10,1454
AUAL,11,1454
AUAL,12,1449
AUAL,13,1451
AUAL,14,1447
AUAL,15,1447
AUAL,16,1446
AUAL,17,1437
AUAL,18,1437
AUAL,20,1419
AUAL,21,1413
AUAL,22,1406
AUAL,23,1401
AUAL,24,1390
AUAL,25,1391
AUAL,26,1400
AUAL,27,1402
AUAL,28,1398
AUAL,29,1399
AUAL,30,1395
AUAL,31,1447
AUAL,32,1506
AUAR,0,1624
AUAR,1,1593
AUAR,2,1577
AUAR,8,1511
AUAR,9,1490
AUAR,10,1485
AUAR,12,1483
AUAR,13,1464
AUAR,15,1445
AUAR,16,1430
AUAR,17,1422
AUAR,18,1415
AUAR,19,1418
AUAR,20,1411
AUAR,21,1400
AUAR,23,1390
AUAR,27,1400
AUAR,28,1478
AUAR,29,1475
AUAR,30,1473
AUAR,31,1466
AUAR,32,1564
AUAR,34,1388
AUAR,35,1498
