neuron,chain_idx,anchor_z
RIBL,0,1596
RIBL,1,1607
RIBL,2,1623
RIBL,3,1615
RIBL,4,1590
RIBL,5,1590
RIBL,6,1596
RIBL,7,1585
RIBL,8,1576
RIBL,10,1447
RIBL,11,1443
RIBL,12,1442
RIBL,13,1439
RIBL,14,1432
RIBL,15,1428
RIBL,16,1448
RIBL,17,1430
RIBL,18,1405
RIBL,20,1364
RIBL,22,1418
RIBL,23,1424
RIBL,24,1414
RIBL,25,1406
RIBL,26,1400
RIBL,27,1403
RIBL,29,1398
RIBL,30,1398
RIBL,31,1389
RIBL,32,1370
RIBL,33,1342
RIBL,34,1340
RIBL,36,1336
RIBL,38,1411
RIBL,39,1419
RIBL,40,1583
RIBR,0,1380
RIBR,2,1371
RIBR,3,1363
RIBR,4,1402
RIBR,5,1442
RIBR,6,1444
RIBR,8,1475
RIBR,9,1466
RIBR,10,1486
RIBR,12,1594
RIBR,13,1586
RIBR,14,1587
RIBR,15,1572
RIBR,16,1596
RIBR,17,1560
RIBR,18,1504
RIBR,19,1459
RIBR,20,1448
RIBR,21,1452
RIBR,22,1410
RIBR,23,1456
RIBR,24,1446
RIBR,25,1449
RIBR,26,1451
RIBR,27,1442
RIBR,28,1442
RIBR,29,1438
RIBR,31,1418
RIBR,32,1399
RIBR,33,1397
RIBR,35,1393
RIBR,36,1365
RIBR,37,1361
RIBR,38,1353
RIBR,39,1351
RIBR,40,1344
RIBR,41,1356
RIBR,42,1362
