neuron,chain_idx,anchor_z
RIH,0,1568
RIH,1,1598
RIH,2,1624
RIH,3,1609
RIH,4,1598
RIH,5,1552
RIH,6,1509
RIH,7,1505
RIH,8,1492
RIH,12,1476
RIH,13,1472
RIH,14,1470
RIH,15,1473
RIH,17,1380
RIH,18,1430
RIH,19,1484
RIH,20,1477
RIH,22,1376
RIH,23,1362
RIH,24,1352
RIH,26,1351
RIH,27,1345
RIH,29,1392
RIH,30,1395
RIH,34,1407
RIH,36,1405
RIH,37,1401
RIH,39,1334
RIH,40,1327
RIH,41,1325
RIH,42,1371
RIH,43,1366
RIH,44,1347
RIH,45,1329
RIH,46,1327
RIH,48,1324
RIH,50,1312
RIH,51,1359
RIH,52,1368
RIH,53,1503
RIH,54,1501
RIH,55,1501
RIH,56,1498
RIH,58,1494
RIH,59,1501
RIH,60,1543
