neuron,chain_idx,anchor_z
RIML,0,1549
RIML,1,1557
RIML,2,1569
RIML,3,1566
RIML,5,1578
RIML,6,1588
RIML,8,1591
RIML,9,1595
RIML,10,1586
RIML,11,1596
RIML,12,1613
RIML,13,1617
RIML,14,1622
RIML,15,1607
RIML,16,1578
RIML,17,1572
RIML,18,1566
RIML,19,1546
RIML,20,1547
RIML,21,1541
RIML,22,1535
RIML,23,1475
RIML,24,1424
RIML,25,1408
RIML,26,1396
RIML,27,1397
RIML,28,1388
RIML,29,1386
RIML,31,1390
RIML,33,1392
RIML,34,1381
RIML,35,1380
RIML,36,1378
RIML,37,1374
RIML,38,1376
RIML,39,1381
RIML,40,1389
RIML,41,1401
RIML,43,1425
RIML,44,1437
RIML,45,1440
RIML,46,1449
RIML,47,1461
RIML,49,1466
RIML,50,1480
RIML,51,1463
RIML,54,1455
RIML,55,1443
RIML,56,1421
RIML,58,1386
RIML,59,1382
RIML,60,1383
RIML,61,1383
RIML,62,1366
RIML,63,1357
RIML,64,1358
RIML,65,1394
RIML,66,1510
RIMR,0,1628
RIMR,1,1524
RIMR,2,1532
RIMR,6,1565
RIMR,8,1572
RIMR,9,1579
RIMR,10,1593
RIMR,11,1608
RIMR,13,1568
RIMR,14,1585
RIMR,15,1620
RIMR,16,1608
RIMR,17,1555
RIMR,18,1572
RIMR,19,1576
RIMR,22,1523
RIMR,23,1498
RIMR,25,1475
RIMR,26,1472
RIMR,27,1466
RIMR,28,1455
RIMR,29,1460
RIMR,30,1434
RIMR,31,1417
RIMR,32,1408
RIMR,33,1404
RIMR,34,1408
RIMR,35,1403
RIMR,37,1399
RIMR,38,1398
RIMR,39,1394
RIMR,40,1395
RIMR,41,1379
RIMR,42,1372
RIMR,43,1399
RIMR,44,1440
RIMR,45,1472
RIMR,46,1446
RIMR,47,1415
RIMR,48,1409
RIMR,50,1369
RIMR,51,1363
RIMR,53,1361
RIMR,55,1361
RIMR,56,1354
RIMR,57,1351
RIMR,58,1426
