neuron_id,cell_name,first_seen,notes
1,A53,2026-08-18,
2,A9,2026-08-18,
3,ADAL,2026-08-18,
4,ADAR,2026-08-18,
5,AIAL,2026-08-18,
6,AIAR,2026-08-18,
7,AIBL,2026-08-18,
8,AIBR,2026-08-18,
9,AIML,2026-08-18,
10,AIMR,2026-08-18,
11,AINL,2026-08-18,
12,AIYL,2026-08-18,
13,AIYR,2026-08-18,
14,AIZL,2026-08-18,
15,AIZR,2026-08-18,
16,ALA,2026-08-18,
17,ALML,2026-08-18,
18,ALMR,2026-08-18,
19,ALNL,2026-08-18,
20,ALNR,2026-08-18,
21,AMsh,2026-08-18,
22,AS1!,2026-08-18,
23,AUAL,2026-08-18,
24,AUAR,2026-08-18,
25,AVAL,2026-08-18,
26,AVAR,2026-08-18,
27,AVBL,2026-08-18,
28,AVBR,2026-08-18,
29,AVDL,2026-08-18,
30,AVDR,2026-08-18,
31,AVEL,2026-08-18,
32,AVER,2026-08-18,
33,AVFL,2026-08-18,
34,AVFR,2026-08-18,
35,AVHL,2026-08-18,
36,AVHR,2026-08-18,
37,AVJL,2026-08-18,
38,AVJR,2026-08-18,
39,AVKL,2026-08-18,
40,AVKR,2026-08-18,
41,AVL,2026-08-18,
42,AVM,2026-08-18,
43,BDUL,2026-08-18,
44,BDUR,2026-08-18,
45,BWM-DL01,2026-08-18,
46,BWM-DL02,2026-08-18,
47,BWM-DL03,2026-08-18,
48,BWM-DL04,2026-08-18,
49,BWM-DL05,2026-08-18,
50,BWM-DL06,2026-08-18,
51,BWM-DL07,2026-08-18,
52,BWM-DL08,2026-08-18,
53,BWM-DL08_fragment,2026-08-18,
54,BWM-DR01,2026-08-18,
55,BWM-DR02,2026-08-18,
56,BWM-DR03,2026-08-18,
57,BWM-DR04,2026-08-18,
58,BWM-DR05,2026-08-18,
59,BWM-DR06,2026-08-18,
60,BWM-DR07,2026-08-18,
61,BWM-DR08,2026-08-18,
62,BWM-VL01,2026-08-18,
63,BWM-VL02,2026-08-18,
64,BWM-VL03,2026-08-18,
65,BWM-VL04,2026-08-18,
