z,iou,centroid_drift_px
1589,0.0,171.1445715039607
1590,0.0,199.8262453661495
1591,0.0,231.7986297708096
1592,0.0,227.57258493117516
1593,0.0,252.62184231219342
1594,0.0,280.4906299439039
1595,0.0,262.437717691031
1596,0.0,404.40313897224655
1597,0.0,296.67051378319206
1598,0.0,225.1437869887975
1599,0.0,365.96932789645314
1600,0.0,307.81929547962204
1601,0.0,406.3295577293657
1602,0.0,477.7242174149376
1603,0.0,461.98197060382984
1604,0.0,428.8081538651595
1605,0.0,412.05979693673805
1606,0.0,348.42170886140906
1607,0.0,359.495439064044
1608,0.0,318.8519478268379
1609,0.0,151.48318759494342
1610,0.0,289.7284103099562
1611,0.0,353.9395780525785
1612,6.805035726437564e-05,249.09523316673614
1613,0.0,271.3706553890647
1614,0.0,180.855345087773
1615,0.0,365.30348273048475
1616,0.0,231.57162578670003
1617,0.03937043795620438,52.691889879936106
1618,0.0,330.67313643902554
1619,0.0,142.13084757256036
1620,0.0,166.1448283597162
1621,0.0,182.01232308066807
1622,0.0,213.3719553283336
1623,0.0,231.03752408131646
1624,0.0,229.30112427543932
1625,0.0,233.95648816822546
1626,0.0,248.64966629920855
1627,0.0,322.26508102217474
1628,0.0,311.19563465913217
