z,n_cells,approach,seconds,own_coverage,total_foreign,overlap_fraction,boundary_on_membrane
1326,94,A1_prompt,31.3,0.979,10,0.378,0.738
1326,94,A2_amg,10.4,0.17,0,0.0,0.743
1393,151,A1_prompt,70.0,0.993,44,9.687,0.741
1393,151,A2_amg,21.2,0.086,0,0.0,0.608
1460,188,A1_prompt,88.5,1.0,43,17.082,0.749
1460,188,A2_amg,27.3,0.08,0,0.0,0.555
1527,168,A1_prompt,69.0,1.0,51,6.835,0.82
1527,168,A2_amg,21.1,0.083,0,0.0,0.857
1594,164,A1_prompt,64.0,1.0,44,5.33,0.802
1594,164,A2_amg,22.1,0.098,0,0.0,0.748
